Date;Eonia Capitalization Index Cap
30/12/2010;0.40
31/12/2010;0.38
03/01/2011;0.38
04/01/2011;0.39
05/01/2011;0.38
06/01/2011;0.38
07/01/2011;0.38
10/01/2011;0.36
11/01/2011;0.37
12/01/2011;0.81
13/01/2011;0.71
14/01/2011;0.71
17/01/2011;0.82
18/01/2011;0.92
19/01/2011;1.04
20/01/2011;1.17
21/01/2011;1.06
24/01/2011;1.04
25/01/2011;1.31
26/01/2011;1.32
27/01/2011;0.79
28/01/2011;0.53
31/01/2011;0.37
01/02/2011;0.35
02/02/2011;0.68
03/02/2011;1.09
04/02/2011;1.02
07/02/2011;0.92
08/02/2011;0.83
09/02/2011;0.75
10/02/2011;0.70
11/02/2011;0.63
14/02/2011;0.50
15/02/2011;0.50
16/02/2011;0.53
17/02/2011;0.66
18/02/2011;0.67
21/02/2011;0.63
22/02/2011;0.69
23/02/2011;0.60
24/02/2011;0.47
25/02/2011;0.38
28/02/2011;0.38
01/03/2011;0.45
02/03/2011;0.81
03/03/2011;0.84
04/03/2011;0.80
07/03/2011;0.75
08/03/2011;0.73
09/03/2011;0.72
10/03/2011;0.71
11/03/2011;0.70
14/03/2011;0.71
15/03/2011;0.70
16/03/2011;0.69
17/03/2011;0.70
18/03/2011;0.67
21/03/2011;0.64
22/03/2011;0.62
23/03/2011;0.61
24/03/2011;0.59
25/03/2011;0.90
28/03/2011;0.59
29/03/2011;0.58
30/03/2011;0.58
31/03/2011;0.56
01/04/2011;0.55
04/04/2011;0.54
05/04/2011;0.53
06/04/2011;0.80
07/04/2011;1.14
08/04/2011;1.15
11/04/2011;1.14
12/04/2011;1.13
13/04/2011;1.13
14/04/2011;1.22
15/04/2011;1.43
18/04/2011;1.30
19/04/2011;1.29
20/04/2011;1.28
21/04/2011;1.42
26/04/2011;1.29
27/04/2011;1.26
28/04/2011;1.05
29/04/2011;0.85
02/05/2011;0.59
03/05/2011;0.60
04/05/2011;0.93
05/05/2011;1.05
06/05/2011;1.06
09/05/2011;1.11
10/05/2011;1.13
11/05/2011;1.13
12/05/2011;1.15
13/05/2011;1.16
16/05/2011;1.16
17/05/2011;1.16
18/05/2011;1.14
19/05/2011;1.13
20/05/2011;1.08
23/05/2011;0.92
24/05/2011;0.85
25/05/2011;0.95
26/05/2011;0.85
27/05/2011;0.88
30/05/2011;0.89
31/05/2011;0.88
01/06/2011;0.90
02/06/2011;1.07
03/06/2011;1.30
06/06/2011;1.55
07/06/2011;1.40
08/06/2011;1.19
09/06/2011;1.27
10/06/2011;1.30
13/06/2011;1.34
14/06/2011;1.34
15/06/2011;1.31
16/06/2011;1.09
17/06/2011;0.95
20/06/2011;0.86
21/06/2011;0.85
22/06/2011;0.84
23/06/2011;0.99
24/06/2011;1.72
27/06/2011;0.91
28/06/2011;0.82
29/06/2011;0.71
30/06/2011;0.60
01/07/2011;0.60
04/07/2011;0.59
05/07/2011;0.60
06/07/2011;1.02
07/07/2011;1.48
08/07/2011;1.46
11/07/2011;1.48
12/07/2011;1.49
13/07/2011;1.47
14/07/2011;1.20
15/07/2011;1.08
18/07/2011;0.97
19/07/2011;0.98
20/07/2011;0.99
21/07/2011;0.95
22/07/2011;0.90
25/07/2011;0.97
26/07/2011;0.91
27/07/2011;0.94
28/07/2011;0.86
29/07/2011;0.85
01/08/2011;0.85
02/08/2011;0.86
03/08/2011;1.21
04/08/2011;1.01
05/08/2011;0.90
08/08/2011;0.88
09/08/2011;0.87
10/08/2011;0.89
11/08/2011;0.88
12/08/2011;0.88
15/08/2011;0.89
16/08/2011;0.91
17/08/2011;0.90
18/08/2011;0.90
19/08/2011;0.89
22/08/2011;0.87
